Crop,Question,Answer
,When should I harvest my beans,Harvest when they have reached physiological maturity for fresh consumption and when they have dried to a moisture content of about 20 for drying and storage of grain
,What is germination?,The process by which a seed grows from an inert stage into an embryo and thereafter a full plant
,what is the gestation period for cassava,12 months 
,How can I make organic fertilizer.,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
,How can I control mole rat in my cassava garden,Use rodenticdes or rat poison
,why do maize leaves sometimes are yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,which variety of cassava is fast maturing,Most improved varieties such as NASE series and NAROCASS
,since naro beans are common in our market how many kilograms should I get in one acre,20-30 kilograms of beans 
,where can I get healthy cassava stems for planting,NARO OWC NAADS and certified seed entreprenuers
,what may make my maize seeds not to germinate well?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions. "
,How can I control cassava Bacterial Blight,Use improved varieties 
,what should I start spraying my beans,Spraying for diseases should be done when any economic pest is spotted but foliar fertilizers can be sprayed just before flowering
,what is the proper spacing of maize,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm. "
,what are good stages of applying fertilizers in beans,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How can I improve the fertility of my soil,Use fertilisers and manure
,what causes the yellowing of beans at its initial stages (1-2weeks)?,Yellowing in beans is mainly due to lack of nitrogen and other minerals in the soil. Some diseases in beans also lead to yellowing
,what is sclerotium disease,"Soil-borne fungus infecting most active during warm, wet weather in tropical and subtropical region sand causes rots of the lower stem, roots and crown."
,how many nodes should a good cassava cutting have,A good cassava stem should have atleast 4-8 nodes
,How many times should I  spray my maize garden,"Depending on the incidence of pests and weeds in the garden, spray when numbers increase"
,how many years should I plant cassava in the same garden,Atleast three years and therafter use another crop (Crop rotation)
,how can I know the fertility of my soil,Test for nutreints in the soil
,How does cassava bacterial blight spread., Bacterial blight of cassava spreads from using infected material.
,what size of  cassava cutting should plant,A medium size stem of about 9 to 15 months is approriate for planting
,how can I control  kayongo in my garden,Not clear
,what makes cassava roots to become black?,Cassava brown streak disease 
,how can I control weeds in my garden,Weed regularly or use herbicieds if crop is herbicde ready
,how can I control cassava green mite in my cassava,Before planting inspect and select materials free from disease and green mites. Also use good management practices. 
,which variety of cassava has a short maturity periods,Most varieties mature in 9-12 months but local varieties mature earlier 
,Why should I carryout crop rotation?, It is important in improving yields and cycling nutrients
,what makes my maize not to germinate well,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions. "
,what are maize pests,"Termites, Leaf hoppers, stem borers, cut worms, etc"
,when should I  harvest  my maize,Harvest when they have reached physiological maturity for fresh consumption and when they have dried to a moisture content of about 20 for drying and storage of grain
,how can I control termites in my maize garden,Use termiticides on reccomendation of the agric offcier 
,how many beans should be put in a hole,Plant one or  two seeds per hole but one is the most recommended
,how can I maintain bean plants in the garden,Make sure they have no weed and are pest free
,what fertilizer can use to plant my cassava,Nitrogen fertilizers are commonly used
,where can I get healthy cassava cuttings for planting,NARO through cassava seed suppliers and OWC NAADS provides healthy cuttings 
,what brings mosaic diseases in cassava,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,what is the gestation period of cassava,12 months 
,what crop can l use for inter-cropping my maize?,Beans
,what causes purpling of maize leaves,Viral diseases such as MLN and lack of nutrients
,what is a white fly,An insect which carries disease and spreads it in cassava
,which type of soil is good for growing beans,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,what is the first thing I should do to prepare land,Cut and remove trees and tree stumps
,Does cassava mosaic affect the cassava stems?,Yes�It makes them small and not good for planting
,What makes beans not to germinate well?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions. "
,How long should I take to plant my Cassava cutting,Plant cuttings that are 9-15 months old
,what causes cassava rot crop,Diseases such as CBSD or fungus
,which variety of cassava is resistant to pest and diseases,All improved varieties including NASE 1-19 and NAROCASS 1 and 2
,how do you know that cassava is ready for storage,When it has dried and easily breaks on small pressure
,what type of soil is good for growing beans,Loam soils that are well drained
,how can I control the cartepilar from eating the stem of my maize plant,Use herbicides or cultural control 
,what types of fertilizers are used in beans,Nitrogen fertilizers are commonly used
,how can I control black spots in beans pods,Use clean seed of disease resistant crops 
,how can improve my cassava garden fertility,Use fertilisers and manure
,what is spaling of beans,Not clear
,what is the best month for planting beans,March and August when rains have just begun
,How can I apply fertilizer in my Cassava?,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,what is the best season for planting cassava,Season beginning March and early August when rains start
,how many bean seeds should I plant per hole ,Plant one or  two seeds per hole but one is the most recommended
,which variety of cassava  is tolerant  to  drought,"NASE 14, NAROCASS 1 and NAROCASS 2 plus NASE 3"
,which crop is good for inter cropping cassava,Beans and maize when cassava is young
,which cassava variety is suitable for all soil types?,Most improved varieties in tye NASE and NAROCASS series 
,what brings a hole from maize,Fall army worm or stem borers
,What causes  curling of cassava leaves?,Cassava mosiac disease 
,how can I apply the fertilizer in my garden,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
, How can I store my food.,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,How can a farmer improve on soil fertility?,Add fertilisrs and organic manure
,What is spacing of beans?,60cm (between row) and 20cm (between plants)
,What chemical is used for seed dressing?,Carboxin and fluidoinil etc
,what pest attack maize at it's early stages,Leaf hopper and cut worms and termites 
,how can I times should I plough any garden  for growing,Two times are enough to ensure a smooth and well prepared garden
,where can I get good cassava cuttings for planting,NARO through cassava seed suppliers and OWC NAADS provides healthy cuttings 
,when should I weed my beans,Every time weeds are in the garden
,what is inter cropping,Growing two crops in the same garden at the same time 
,How can I control bean weevil during storage,"Good storage practices such as using Pico bags, storing on pallets and use of insectides when combined allow for better storage iof maize"
,How many times should I weed my cassava,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
,what makes my bean leaf to dry off,This could be due to attack by bean rust or drought
,what causes Cassava yellowish,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,how can I determine soil fertility off My Land,Test for nutreints in the soil
,which type of crop can I intercrop with cassava,Beans and maize
,How can I control weeds in my bean garden,Weed regularly or use herbicieds if crop is herbicide ready
,how should I dry My cassava,Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them
,how does fall armyworms look like,The fall army worm larvae is a dark green caterpillar almost brown
,what can I use for planting maize,Nitrogen fertiliser and farm implements like hoes
,what causes  premature yellowing and drying  of maize leaves,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause yellowing
,what makes cassava to be dry,Not clear
,what can I use for storing my beans?,Pico bags and a well aerated store
,how long should I take to plant my cassava  cutting ,Cassava that is about 9-15 months can be used for planting
,how can I control cassava blight,Use improved varieties 
,what causes cassava rotting,CBSD or fungal attack on the root
,how do I space cassava lines while planting?,1 by 1 meter square
,what makes my beans not to germinate well,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions. "
,How can I control mole rat in my cassava,Use rodenticdes or rat poison
,What causes dryness of young Maize crop in the garden?,Drought mainly
,How many times should I weed my beans,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
,How long should I take to plant my cassava cuttings,Cassava that is about 9-15 months can be used for planting
,how can I control weevils in my store,Take preventative steps through better management and storage and where possible use recommended insecticides. And other control strategies �
,why is cassava so important?,Source of money and calories 
,how to make more yields of cassava,Plant improved varieties 
,what type of soil for growing cassava,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,how can I improve the fertility of soil in my cassava garden?,Add fertilizers and organic manure
,What makes beans to rot in pod?,Pathogens and  stressful environments like drought in your garden
,What is cassava bacterial blight?,A disease caused by Xanthomonas axonopodis pv.�manihotison cassava.
,which disease affect beans?,"Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold."
,Why do farmers weed their crops in the garden.,Improve yield and crop performance
,When should I weed maize after planting.,Immediately the weeds grow manage them
,how can I make the fertility of my soil,Add organic manure and fertilizers 
,which season is good for maize growing,Season beginning March and early August when rains start
,which variety of beans is the best for planting,"NARO has  good bean varieties. The recent ones include NAROBEAN 1, 2,3 and even the NABE beans are good. "
,how can I improve the yield of my beans,Use improved varieties and good crop management
,what makes  black leaves in cassava,Sooty mould due to whitefly infestation
,can I apply fertilizer in cassava,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How does beans disease spread,Insects and aphids in the garden
,how can I store my cassava,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,what causes cassava to be dry,Not clear but may be diseases such as CBSD
,how to control cassava brown streak,Use clean seed (stems) of CBSD tolerant varieties such as NAROCASS 1 and NASE 14 
,what is the spacing of maize?,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm. "
,How can I know that my beans is dry for storage,Yellowing of pods and drying after
,What makes bean seeds not to germinate well?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions. "
,why does my cassava put few roots,Poor soils with low fertility
,How many kilograms can l get in one acre?,Not clear
,how can I control cassava bacterial blight ,Use improved varueties and good crop management practices 
,how can I control  pest  in my maize    plant,Use pesticides and good farming practices 
,How can I control termites in my garden,Use termiticides on reccomendation of the agric offcier 
,when should I apply fertilizer in my beans,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,why does cassava plant have more than one disease infection?,Disease are every where and infect crops
,how many bean seed should I plant per hole,Plant one or  two seeds per hole but one is the most recommended
,how can I control pests in my bean,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
,what is a farmer,Someone who tends to the farm
,how should I improve  yields of my beans,Use fertilisers and manure and also improved seeds 
,What makes maize seeds to be very small?,Poor soil fertility and diseases 
,what causes bean weevils,Weevils are a result of improper crop management pre and post harvest. Good control and management strategies will reduce weevil infestation
,What is seed dressing?,Seed dressing is application of chemical agents on the seed and germination promoters to allow for vigoruos germination and hence plant growth
,which season is suitable for planting Maize?,Season beginning March and early August when rains start
,how can I know that My beans is dry for storage,Measure the mositure content if it is below 14%
,what is the best soil for planting crops,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,what can I use for storing maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,how can I know that my maize is dry for storage,Measure the mositure content if it is below 14%
,what is a farmer?,Someone who tends to the farm
,which fertilizers are used in beans,"Nitrogen based fertilisers such as Urea, NPK, CAN and phosphates and sulfur"
,What causes yellowing of older leaves in cassava,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause yellowing
,how many times should I plough my gardens before planting my cassava,Two times are enough to ensure a smooth and well prepared garden
,how to prevent cassava root rotting,Use improved varieties and good crop management
,How can I control cassava bacterial blight?,Plant improved varieties and manage the crop well
,what causes cassava brown streak  disease,"A virus called cassava brown streak virus found in tissues of cassava, especially stems causes the disease"
,can weeds affect the growth of cassava?,Yes�It makes them small 
,in which way should I spray my beans,Spray on the leaves and under them for better results
,which season is suitable for planting cassava,Season beginning March and early August when rains start
,what type of soil is good for growing  cassava,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,how can I control pests and disease in my cassava garden,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
,What makes bean seeds to rot inside the pod,Diseases such as sclerotioum and rots and a lot of rain
,What is pest.,Any organisms that attacks and depends on the crop while stopping its growth
,What fertilizer can I use in my cassava?,Nitrogen based fertilisers
,what herbicide can I use to control weeds in my cassava,Glyphoshate based herbicieds 
,What maize variety is resistant to pest and disease?,Most improved varieties 
,what virus causes cassava mosaic,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,what can l use for drying my cassava,Use tarpaulines on raised racks in the sun
,when should I apply fertilizer in my cassava garden,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How can I detect cassava stem infected by cassava brown streak?,Yellowing of leaves on the plant and browning of stems that have streaks on them
,What are the pest and disease of beans?,Leaf based and pod based pests and bacterial and fungal diseases 
,how many diseases attack cassava in Uganda,"Mainly three (CBSD, CMD and CBB)"
,what can I use to spray cassava with brown streak,Insecticides that kill anthropod pests such as whiteflies can be used in case of so many whiteflies in the garden which spread the disease
,identify two ways of controling  the disease in the garden.,Before planting inspect and select materials free from disease and green mites. Also use good management practices. 
,which bean varieties are tolerant to bean diseases,"Dry beans,French beans,Green beans, Nabe 15 and most beans with medium seed"
,why do pest destroy cassava leaves in the garden.,They eat them as food
,what makes a leaf of maize to be dry,Un balanced and excessive use of chemical fertilizers and deficiency
,what are the fertilizers used in beans,Adding in low nitrogen fertilizers at planting time is ok though usually beans manufacture their own nitrogen directly from the soil.
,Why should a farmer carryout crop rotation?, It is important in improving yields and cycling nutrients
,does cassava diseases affect only the leaves?,"Not really,cassava diseases affects both leaves,stems and roots.especially cassava mosaic disease and cassava brown streak disease"
,what causes black spots on my bean,It happens when pores of the fungus germinate and infect individual plant cells.when this happens the sorrouning cells die and the fungus can not advance thus resulting into ablack spot on the bean pod 
,how can I mantain my cassava healthy to maturity?,Taking control of diseases and weeds 
,What causes yellowish of cassava leaf.,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,what makes the Root of My beans rot,Poor and infertile soils and lack of related nutrient to root growth during germination and growth stages of the crops in the garden
,What is macro organism?,A big organism
,types of maize,"Longe 9,10 and all the newly released varietie by NARO"
,when should I harvest my cassava,Harvest when it has reached physiological maturity at around 12 months 
,what causes cassava white mite,Insect pests attack plants usually when they are abundant and cause yield losses. They are caused by changes in environment etc
,When should I harvest My cassava,Harvest when it has reached physiological maturity at around 12 months 
,how can I control weeds in my cassava gardens,Weeding every time there are many weeds in the garden but atleast more than two times in the growing cycle
,which variety of cassava is resistant to pest and disease,NASE series are all resistant from mosaic while NAROCASS series and some NASE series like NASe 14 are resistant to mosaic and tolerant to CBSD
,What makes cassava to rot?,"Cassava brown streak  disease, water logging etc"
,what are the dangerous of soil erosion,Loss of nutrients that are abundant in the top soil
,when can I weed my cassava,Weeding is done every time there are many weeds in the garden but atleast more than two times in the growing cycle
,Is cassava also planted using fertilizer?,No
,how to eliminate weeds in a maize garden,Constant weeding and mulching if posible
,what nutrient is lacking in my soil when my maize leaf yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,what brings brown streak disease in cassava.,Whiteflies spread the disease but also mainly through infested/infected cassava stems
,what is the best type of soil for planting Maize,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,what type of bean seeds are the best for growing,Bean varieties are tolerant to bean diseases like those with medium seeds and Nabe 15
,how many times should I weed my bean garden,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
,What is the correct spacing cassava,1 by 1 meters is the suitable spacing
,which type of pesticides is used for beans,Mostly are the pest control chemicals available in markets.
,What makes cassava to rot,"Infections caused by casava brown streak, cassava mosaic disease caused by a virus spread by whitefly and planting of dieased material"
,how to control cassava mosaic,Cassava mosaic disease is controlled by the use of clean planting material of resistant varieties 
,which season is cassava gets dry,During the dry seasons.
,    when should I weed my cassava.,Weeding is done every time there are many weeds in the garden but atleast more than two times in the growing cycle
,how do we call the virus found in the cassava,Cassava mosaic virus  that Is spread by the whiteflies
,how many times should I weed my beans,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
,after how long should I start spraying,Spraying for diseases should be done when any economic pest is spotted but foliar fertilizers can be sprayed just before flowering
,what makes my  maize leave to turn   purple,Purpleness is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause the colouring
,what is the importance of early planting,Helps in increasing yield
,what transmits cassava mosaic virus disease,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,what variety of maize is good for planting,"Longe 9,10 and all the newly released varietie by NARO"
,which soil type is best for cassava.why do cassava cuttings become bigger in the soil.,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,What causes cassava Bacterial Blight,Xanthomonas axonopodis pv.�manihotis�is the bacteria or pathogen that causes bacterial blight of cassava.
,what  can I use for storing my beans,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,how many bean seeds should be planted per whole,Plant one or  two seeds per hole but one is the most recommended
,What is the best quality of cassava to plant?,Cassava that is high yielding and disease resistant and tolerant
,how to prevent and control sclerotium rolfsii,By using clean seeds and making sure the garden is free from old plants
,what makes my maize leaves turn yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,How should I plant my cassava stem cutting,Make awide hole and vertically place the cutting and cover it with simple soil for it to germinate properly
,How can I prevent maize plant in the green?,Making constant weeding especially two times in the growing cycle
,what can I use for. transporting my maize from the  garden   during  hervesting,Use of pico bags or sacks that are aerated
,what type of habisides can I use to control weeds in cassava garden,Use 24D and or any other weed killing chemicals available in the market
,Types of maize pests,"Fall army worm, stem borers"
,why is that leaves of beans normally has holes before mature,They are caused by leaf miners
,which variety of cassava is good for eating,"Narocass 1,Narocass 2 and most local varieties based on farmers preferences"
,what are good stages of applying fertilizers in maize,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,which variety of cassava is resistant to pest and disease.,All the released varieties by NARO
,which pesticides control cassava brown streak,Insecticides that kill anthropod pests such as whiteflies can be used in case of so many whiteflies in the garden which spread the disease
,What is nursery bed,The prepared place where the process by which a seed grows from an inert stage into an embryo and thereafter a full plant
,what is the importance of spacing my maize,Proper spacing allows crops to use nutrients maximally without competition and hence big yields
,What causes mosaic,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,what is the importance of proper spacing maize,Proper spacing allows crops to use nutrients maximally without competition and hence big yields
,what causes folding of beans leaves,Pests can fold beans but viral diseases are the main cause 
,how to make organic fertilizer,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
,what is weeding,Weeding is the removal weeds from the garden
,what can I use for storing my cassava,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,what causes weevils in my store,Weevils are a result of improper crop management pre and post harvest. Good control and management strategies will reduce weevil infestation
,What causes cassava mossaic disease?,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,How can a farmer control weeds in beans garden?,By using herbicides or control strategies  etc
,what disease affects cassava?,A variety of diseases that includes cassava mosaic disease and cassava brown streak disease.
,what causes black spots on my beans,It happens when pores of the fungus germinate and infect individual plant cells.when this happens the sorrouning cells die and the fungus can not advance thus resulting into ablack spot on the bean pod 
,which type of soil does well with maize,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,how many days does it take for a bean seed to germinate,4-7 days
,what causes root rotting in cassava,Infections caused by casava brown streak an cassava mosaic disease caused by a virus spread by whitefly an planting of dieased material
,How should I control Cassava green mite in my Cassava garden?,Before planting inspect and select materials free from disease and green mites. Also use good management practices. 
,how to control maize pests,Use good crop management practices and where possible use chemicals (pesticieds) to kill the pests
,Give three types of soil,"Sandy,loam and clay soils"
,what is seed dormancy,The process by which a seed grows from an inert stage into an embryo and thereafter a full plant
,what variety of beans is good?,"NARO has  good bean varieties. The recent ones include NAROBEAN 1, 2,3 and even the NABE beans are good. "
,what makes cassava to get dry,"Poor soils, infection of diseases an invasion of ants"
,What causes flower absorption in beans?,Un favourable harsh conitions 
,what is germination in plants?,The process by which a seed grows from an inert stage into an embryo and thereafter a full plant
,how can I control diseases of maize,Doing constant weeding every time weeds show up in the gardens especially like two times during the plant growth cycle
,how can I control pest in a garden,Controlling weeds and applying pest control chemicals will reduce pests in the gardens
,what happens to cassava tubers when the leaves are infected?,They rot caused by mainly cassava brown streak disease 
,how many times should I spray my beans,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How can I prevent yellowish of cassava leaf.,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,what are the common weeds in a maize garden,"Couch grass, wandering jew, etc"
,how can I prevent pest,Controlling weeds and applying pest control chemicals will reduce pests in the gardens an good storage conitions also controls pests
,What are the qualities of a good store?,It should be well aerated and free from rodents.
,how can I get  healthy cassava cutting for planting,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings 
,How can I control cassava green mites in my cassava,Before planting inspect and select materials free from disease and green mites. Also use good management practices. 
,Which type of crop is good for intercropping with cassava?,"Nitrogen fixing crops like beans,and maize can be intercropped with cassava very well"
,what is the season for harvesting cassava,Harvest when it has reached physiological maturity at around 12 months 
,Which cassava variety is resistant to pest and disease?,"All the released varieties by NARO like Narocass 1,2 and all Nase's"
,which maize varieties are to brand to maize diseases,All the released varieties by NARO like Longe 1-10 
,What is seed dressing in Crop production,Seed dressing is application of chemical agents on the seed and germination promoters to allow for vigoruos germination and hence plant growth
,How can I control weeds in my cassava garden.,Weeding using hand hoe/ slashing and spraying with herbicides
,how long does it take for maize to mature,90 days 
,how can I dry my beans properly,Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them
,where can I get healthy cassava cutting for planing,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings 
,what can I use for safe drying of my beans,Beans can be dried on tapaulines on cemented floor to avoid losses in quality
,how can I control flies in my maize garden,Spraying using pesticides 
,what causes bacterial blight,Xanthomonas axonopodis pv.�manihotis�is the bacteria or pathogen that causes bacterial blight of cassava.
,Can cassava be planted with fertilizer,No
,what makes maize leave sometimes yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause yellowing
,which type of pesticides is used for spraying  maize,Metrazin 
,What is crop rotation?,A management practice of Growing different crops on the same field in consecutive seasosns. 
,What pest causes cassava bacteria blight?,White flies 
,which type of germination takes place in Maize,Hypogeal
,what is flowering in beans,This is when plant starts bearing flowers 
,how can I control  stinger in my maize  garden,Spraying fungicides 
,how can know that his garden has loam soil,By doing a soil analysis
,how does cassava mosaic spread,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,how can I control cassava white flies in my garden,Planting maize around the cassava field 
,How many noses should a good cassava cuttings have,4-5nodes 
,when  should I plant my cassava cutting,Cassava that is about 9-15 months can be used for planting
,what is causes cassava mosaic,Cassava mosaic disease is caused by cassava mosaic virus which is mainly spread by whiteflies and use of diseased planting material
,what manure should I use in my garden,Green manure/ organic manure
,How long should I take to plant my cassava cutting,Cassava that is about 9-15 months can be used for planting
,How can I control cassava white flies in my cassava garden.,Intercorpping cassava maize/spraying pesticides
,which  type of crop can I intercrop with cassva,Beans/ maize
,what fertilizer can I use when growing cassava,Organic fertiliser
,What makes cassava to taste bitter?,Hydrogen cyanide is the poison that causes cassava to be bitter
,why is cassava prices very low,Value addintion on  cassava is low and thus the  demand for cassava is still low making its prices to be low
,how can I plant maize,First is by clearing the garden either by weeding or spraying herbicides then produre by digging pits with a spacing 
,How can I control cassava mosaic,Cassava mosaic disease is controlled by the use of clean planting material of resistant varieties 
,how many seeds should I put when planting beans,2-3 seeds depending on varaties 
,what is germination in plants,The process by which a seed grows from an inert stage into an embryo and thereafter a full plant
,how can I prevent weeds in maize garden,Weeding using hand hoes/ spraying selective herbicides
,how does bacterial blight spread,Planting crops in  infected soils 
,what makes cassava yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause yellowing
,what can I do to avoid my beans from getting dry,Watering during dry season/ planting seeds at the bringing of the rain seasons
,How many times should I plough my  garden for planting cassava,Two times are enough to ensure a smooth and well prepared garden
,Which cassava variety is What causes cassava tuber to rot,Cassava brown streak dieases 
,What type of soil is good for growing beans?,"Well drained, fertile loam soils that are deep enough to support plant growth. "
,how can I control weeds in my cassava garden,Weeding using hand hoes
,how can I store my maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
,what is the meaning of leaf rust,Leaf rust refers to the rust spots on the leaf which look like a reddidh-brown powder
,How can I control cassava mealy bugs?,Planting clean planting steams/ aslo intercroping with maize
,how can a farmer control white flies,Planting maize around the cassava field 
,what do we use for spraying cassava?,Pesticides
,How can a farmer control white flies in cassava garden?,Intercorpping cassava and maize
,how can I apply fertilizer in my cassava garden?,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,what can I use for storing my maize,Polythene packaging materials 
,when should I start spraying of my beans,Spraying for diseases should be done when any economic pest is spotted but foliar fertilizers can be sprayed just before flowering
,there are how many types of beans seeds?,7 bean types
,how should I plant my cassava stems cutting,Horizontal
,what makes cassava plant not to grow and it's healthy.,Poor soil conditions/ pest and dieases
,what makes cassava leaves to be dry,Water stresses/ pathogens 
,what causes black spots on my bean pod,Pathogens
,what makes my beans roots to rot,Pathogens and  stressful environments like drought in your garden
,what fertilizer can I use in Cassava,NPK before planting 
,How many bean seeds planted per each of hole?,Plant one or  two seeds per hole but one is the most recommended
,how is cassava bacteria blight be controlled?,Planting clean planting materials 
,how can I improve beans seeds viability,Proper seed stroage 
,which beans plant pest causes holes on leaves,beetles/ mites
,what makes flowers to fall off in my beans,Pathogens and  stressful environments like drought in your garden
,Which variety of cassava is resistant to cassava green mites.,Most improved varieties are tolerant to the grreen mite but this should be done along side good crop management practices 
,how can a farmer detect that his cassava has cassava mosaic,leaf rust/ yellowing 
,why does cassava leaf become yellow,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cuase yellowing
,what makes my cassava plants to put few root tubers,Cassava mosic disease 
,When should I transfer my seedling to the main  garden,After harding off of the seeslings 
,how can I apply fertilizer in my garden,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How can make organic fertilizer?,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
,when should I start  spray my maize,when noticed the presence of pests in field
,what is the meaning of bcmv in full,Bean common mosaic virus
,if I intercrop crop cassava and maize does it have any effect?,"NO, it is economically viable "
, which crops are good for interplanting with cassava,Beans /maize
,what makes a maize stem to be dry,Pest and diseases 
,how can I improve the yield of my beans,Applying  fertizers and carrying out timely weeding
,what causes root rotting in beans,Pathogens and  stressful environments like drought in your garden
,For how long cassava is ready to be harvested?,9-12 months 
,how can I control spear grass in a garden,By spraying the weeds and also deep ploughing to cut and burn the grass
,what makes beans to dry up after flowering,Pest infestation 
,which cassava plant disease causes yellowing of leaves ,Yellowing is mainly caused by  viral diseases but lack of Nitrogen in the soil  can also cause yellowing
,which fertilizer can I use for planting my cassava,Fertilisers  containing nitrogen applied just before planting are good for improved germination and vigor in plants
,what causes black spots on my bean pods,Pests and diseases
,What is the importance of mulching garden with dry leaves.,Controls weeds/ improves on soil water retention
,What causes cassava green mite.,Green mite is caused by the insect M.Tanoja which is a pest on cassava and is commonly known as a green mite
,why should I carry out crop rotation,It is important in improving yields and cycling nutrients
,what chemical can I use for dressing my beans seeds,Carboxin and fluidoinil etc
,where can I get the fertilizer.,Registered farmer's shops 
,how can I control termites,Use termiticides on recomendation of the agric officer 
,what makes my cassava plant to put few root tubers,Cassava mosaic disease/ CMD
,what causes yellowing of beans leaves,Water stresses/ pathogens 
,What makes cassava to yield less or small root tubers?,"Low yield (small tubers) is due to effect of pests/disease, lack of nutrients and other poor management practices "
,At what stage of maize growth should I apply the fertilizer,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
,How can I improve the fertility of soil,Applying organic mature/ planting trees 
,where can get healthy cassava cutting for planting,NARO through district based cassava seed suppliers and OWC NAADS provides healthy cuttings 
,what is a proper spacing of maize,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm. "
, type of weeds,Not clear
,How many bean seeds should I plant per hole,Plant one or  two seeds per hole but one is the most recommended
,how can it be controlled,What? Not clear
,what causes cassava brown diseases,Cassava brown streak viruses
,How should I plant my cassava stems cuttings,Dig holes 1 by 1 meter apart in a square and place one good stem and cover it with the soil
,which pesticides are used to spray white flies,Pesticides that kill anthropod pests
,which soil is best for growing cassava.,"Well drained, fertile loam soils that are deep enough to support plant growth. "
